# Photometry of EPIC-245950175
# 
# Description
# 
#     This photometry was produced by Erik Petigura using the `k2phot`
#     code. We used a stationary 36.0 pixel aperture to
#     construct simple aperture photometry from the K2 target pixel
#     file. We then modeled time- and position-dependent photometric
#     variability. The size and shape of the aperture was chosen to
#     minimize noise on three-hour timescales.
# 
# Attribution
# 
#     If you use this photometry, please cite
# 
#     1. Petigura et al. 2015, ApJ, 811, 102
#     2. Aigrain et al. 2016, MNRAS, 459, 2408
# 
# Code Availability
# 
#     Public URL: https://github.com/petigura/k2phot
#     Version: v1.0
#     Git SHA: 0e63443fee2083618488daec2635a9d1af284731
# 
# Column Description
# 
#     t (float): Time [BJD_TDB]
#     cad (int): Unique cadence number
#     fbg (float): Background flux [e-/s/pixel]
#     fsap (float): Simple aperture photometry [e-/s]
#     fdt_t_rollmed (float): Flux after removing variability associated with
#          pixel position [e-/s]
#     fdt_t_roll_2D (float): Flux after removing variability associated with
#          pixel position and time [e-/s]
#     bgmask (bool): Outlier in background flux
#     thrustermask (bool): Thruster fire
#     fdtmask (bool): Observation excluded from Gaussian process model
#     fmask (bool): Observation ignored in transit search
#
t,cad,fsap,fbg,fdt_t_rollmed,fdt_t_roll_2D,bgmask,thrustermask,fdtmask,fmask
2457743.035395,137083,169612.723663,264.931000,169989.673860,169162.885053,False,False,False,False
2457743.055827,137084,169609.714996,265.544556,169977.577436,169147.550767,False,False,False,False
2457743.076260,137085,169644.995270,265.544556,170004.627367,169171.440081,False,False,False,False
2457743.096692,137086,169665.483978,263.703918,170014.018944,169177.748967,False,False,False,False
2457743.117124,137087,169537.315002,265.544556,169875.939228,169036.665197,False,False,False,False
2457743.137557,137088,169561.796478,263.703918,169894.692549,169052.493837,False,False,False,False
2457743.157989,137089,169559.588593,263.703918,169892.498000,169047.454610,False,False,False,False
2457743.178421,137090,169548.605835,263.703918,169886.447458,169038.640055,False,False,False,False
2457743.198854,137091,169590.940643,263.703918,169944.589383,169094.099309,False,False,False,False
2457743.219286,137092,169671.866913,266.158112,170027.724859,169174.634039,False,True,True,True
2457743.239718,137093,169697.699402,266.158112,170040.844138,169185.235102,False,False,False,False
2457743.260151,137094,169733.775970,264.317444,170100.157010,169242.112910,False,False,False,False
2457743.280583,137095,169721.625427,264.931000,170101.392149,169240.996668,False,False,False,False
2457743.301015,137096,169654.504456,265.544556,170037.326145,169174.663519,False,False,False,False
2457743.321448,137097,169699.228149,264.931000,170079.456318,169214.611345,False,False,False,False
